place,freq
HOME COUNTIES, 1
coimbatore, 1
India, 4
kampala uganda, 1
Jamaica, 2
The City 🇺🇸, 1
Texas, 1
USA, 11
United Kingdom, 2
anywhere, 1
CA, 2
SoCal, 1
United States, 1
GA, 1
MI, 2
TX, 1
Mexico, 1
indiana, 1
Louisiana, 1
CO, 1
जळगाव, 1
Somewhere safe and RED! #MAGA, 1
Mumbai, 1
MN, 1
Ontario, 1
England, 1
Earth 🌎, 1
ON) Canada, 1
JUSTICE is coming!, 1
Winnipeg, 1
bbh ailee rv, 1
🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇬🇧, 1
malaysia, 1
Canada, 1
Ohio, 1
British Columbia, 1
North East, 1
planeth earth, 1
Argentina, 1
San Diego, 1
NJ, 1
Bulgaria, 1
Montreal • NYC • NJ, 1
Barbados, 2
Nigeria, 1
Local Kenyan Tourist, 1
The Cotswolds, 1
D.C., 1
Florida, 1
Colombia, 1
Minnesota, 1
NY, 1
Elshrouk City, 1
NE/IT/LA/CT/Berlin/MIT, 1
513, 1
i'm sad D:, 1
MAGA KAG, 1
Sweden, 1
WI, 1
MN CD2, 1
